Tag,Ovid13,Ovid1
A-ADVERB,0.1477,0.4571
A-DO,8.2748,7.8159
A-DO_AP,0.1847,0.4276
A-DO_CO,0.9050,1.6664
A-DO_OBJ-CO,0.0,0.0294
A-EXCLAM,0.0554,0.0294
A-EXCLAM_AP,0.0184,0.0
A-EXTENT,0.4063,0.3686
A-EXTENT_AP,0.0,0.0147
A-EXTENT_CO,0.2031,0.1179
A-INTOBJ,0.2031,0.1769
A-INTOBJ_CO,0.1662,0.0
A-ORIENT,1.2560,1.0617
A-ORIENT_AP,0.0554,0.0589
A-ORIENT_CO,0.1847,0.0884
A-PRED,0.2401,0.1917
A-RESPECT,0.0738,0.0442
A-SUBJ,0.5910,0.5898
A-SUBJ_AP,0.0,0.0294
A-SUBJ_CO,0.0923,0.0294
AB-ABSOL,1.2375,1.0912
AB-ABSOL_CO,0.0369,0.0442
AB-ACCOMP,0.2585,0.4129
AB-AGENT,0.0554,0.1327
AB-CAUSE,0.4617,0.5161
AB-CAUSE_AP,0.0369,0.0
AB-CAUSE_CO,0.1477,0.0589
AB-COMPAR,0.3140,0.5308
AB-COMPAR_CO,0.0,0.1032
AB-DECRIP,0.0554,0.0
AB-DEGDIF,0.0738,0.0294
AB-LOCAT,2.0132,1.7549
AB-LOCAT_AP,0.0184,0.0
AB-LOCAT_CO,0.1108,0.1179
AB-MANN,1.7177,1.0765
AB-MANN_CO,0.1108,0.0884
AB-MEANS,0.7942,1.0470
AB-MEANS_CO,0.1477,0.1327
AB-ORIENT,1.2929,0.8848
AB-ORIENT_CO,0.0,0.0442
AB-PRICE,0.0,0.0147
AB-PRICE_CO,0.0,0.0294
AB-RESPECT,0.2216,0.2654
AB-RESPECT_CO,0.0738,0.0884
AB-SEPAR,0.1847,0.2949
AB-SEPAR_CO,0.0369,0.0
ADJ-RC,0.9235,0.8848
ADJ-RCCHAR,0.0554,0.1032
ADJ-RCCHAR_CO,0.0923,0.0147
ADJ-RCCHAR_OBJ,0.0,0.0442
ADJ-RCCHAR_PRED,0.0184,0.0
ADJ-RCCHAR_SBJ,0.0184,0.0147
ADJ-RC_CO,0.4432,0.5308
ADJ-RC_OBJ,0.0184,0.0442
ADJ-RC_OBJ-AP,0.0,0.0147
ADJ-RC_OBJ-CO,0.0369,0.0294
ADJ-RC_PRED,0.0369,0.0147
ADJ-RC_SBJ,0.1108,0.1032
ADJ-RC_SUBJ-CO,0.1108,0.0442
ADV,7.1296,8.2288
ADV-CAUSAL,0.0184,0.2064
ADV-CAUSAL_CO,0.1108,0.0
ADV-CIRCUMS,0.0554,0.0147
ADV-CIRCUMS_CO,0.0,0.0294
ADV-COMPAR,0.3509,0.3539
ADV-COMPAR_CO,0.2031,0.0589
ADV-CONCESS,0.2585,0.1179
ADV-CONCESS_CO,0.0,0.0294
ADV-CONSEC,0.0369,0.0147
ADV-PROTAS,0.3140,0.6046
ADV-PROTAS_CO,0.1477,0.0442
ADV-PROVISO_CO,0.0,0.1032
ADV-PURP,0.1477,0.1474
ADV-PURP_CO,0.0,0.0147
ADV-RCRESULT,0.0184,0.0
ADV-RESULT,0.0,0.0442
ADV-TEMPOR,0.4617,0.3539
ADV-TEMPOR_CO,0.4063,0.3096
ADV_CO,0.0554,0.0
APOS,0.5541,0.7373
APOS_CO,0.0,0.0589
ATR,14.388,13.596
ATR_CO,0.8127,1.3272
Aux,0.0184,0.0
AuxC,2.2164,2.3890
AuxG,1.8285,1.8286
AuxK,6.1507,6.5919
AuxP,4.0081,4.0554
AuxP_CO,0.0369,0.0737
AuxV,0.7203,0.7963
AuxX,8.4964,9.8658
AuxY,0.3694,0.6783
COORD,9.8633,10.028
D-AGENT,0.1847,0.2064
D-INTER,0.6649,1.0028
D-INTER_CO,0.0,0.0442
D-IO,0.6464,0.8700
D-IO_AP,0.0369,0.0
D-IO_CO,0.0,0.0737
D-POSS,0.1292,0.3096
D-PURP,0.0369,0.0147
D-REFER,0.9050,0.7815
D-REFER_CO,0.0738,0.0294
G-CHAR,0.0,0.0147
G-CHARGE,0.0,0.0147
G-DESC,0.2216,0.3539
G-DESC_CO,0.0369,0.0589
G-MATER,0.0554,0.0
G-OBJEC,0.6464,0.6931
G-OBJEC_CO,0.0,0.0737
G-PART,0.2401,0.2359
G-POSS,2.5304,2.1678
G-POSS_AP,0.0,0.0589
G-POSS_CO,0.0369,0.1622
INF-COMP,0.7388,0.9143
INF-COMP_AP,0.0184,0.0
INF-COMP_CO,0.1108,0.1474
INF-EXPL,0.0554,0.0
INTRJ,0.1292,0.2359
INTRJ_OBJ,0.0,0.0147
L-LOCAT,0.0184,0.0
N-PRED,1.9394,1.7991
N-PRED_AP,0.0184,0.0147
N-PRED_CO,0.2770,0.1769
N-SUBJ,10.251,9.0989
N-SUBJ_AP,0.4987,0.5308
N-SUBJ_CO,1.1451,0.8848
N-SUBJ_OBJ-AP,0.0,0.0147
NOM-DIRSTAT,0.0184,0.0294
NOM-DIRSTAT_CO,0.0369,0.0
NOM-DIRSTAT_OBJ,1.0897,3.0526
NOM-DIRSTAT_OBJ-AP,0.0554,0.0147
NOM-DIRSTAT_OBJ-CO,1.8655,5.8103
NOM-DS-DELIB_OBJ,0.0,0.0442
NOM-DS-HORT,0.0,0.0147
NOM-DS-HORT_OBJ,0.0369,0.0884
NOM-DS-HORT_OBJ-CO,0.0369,0.1769
NOM-DS-OPT_OBJ,0.0184,0.0147
NOM-DS-OPT_OBJ-CO,0.0554,0.0294
NOM-DS-POTENT_OBJ,0.0738,0.1327
NOM-DS-POTENT_OBJ-CO,0.0738,0.2064
NOM-FEARCL_OBJ-AP,0.0184,0.0
NOM-FEARCL_OBJ-CO,0.0369,0.0
NOM-INDQUES_AP,0.0184,0.0
NOM-INDQUES_CO,0.0554,0.0
NOM-INDQUES_OBJ,0.1662,0.1622
NOM-INDQUES_OBJ-CO,0.2031,0.1032
NOM-INDQUES_PRED-CO,0.0,0.0294
NOM-INDQUES_SBJ,0.0184,0.0147
NOM-INDSTAT,0.0,0.0147
NOM-INDSTAT_CO,0.0184,0.0
NOM-INDSTAT_OBJ,0.3694,0.5456
NOM-INDSTAT_OBJ-AP,0.0184,0.0
NOM-INDSTAT_OBJ-CO,0.4432,0.1917
NOM-INDSTAT_SBJ,0.0369,0.0442
NOM-INDSTAT_SUBJ-CO,0.0369,0.0
NOM-SUBST_AP,0.0,0.0147
NOM-SUBST_OBJ,0.0923,0.1327
NOM-SUBST_OBJ-AP,0.0,0.0147
NOM-SUBST_OBJ-CO,0.0184,0.1179
NOM-SUBST_PRED,0.0,0.0147
NOM-SUBST_SBJ,0.0,0.1474
NOM-SUBST_SUBJ-AP,0.0,0.0147
NOM-SUBST_SUBJ-CO,0.0,0.0884
PARENTH,0.2401,0.6046
PRED,4.0081,6.0463
PRED-DELIB,0.0184,0.0
PRED-HORT,0.0,0.0589
PRED-POTENT,0.0369,0.0294
PRED-POTENT_CO,0.0738,0.0147
PRED_CO,7.5360,2.5954
V-VOC,0.4987,0.6636
V-VOC_AP,0.0,0.1032
V-VOC_CO,0.0369,0.0442
V-VOC_OBJ,0.0,0.0294
