Tag,Ovid,Caesar1
A-ADVERB,0.3011,0.9489
A-DO,9.1196,18.801
A-DO_AP,0.3011,1.1269
A-DO_CO,1.2432,2.5800
A-DO_OBJ-CO,0.0231,0.0
A-EXCLAM,0.0463,0.0
A-EXCLAM_AP,0.0077,0.0
A-EXTENT,0.5173,3.3807
A-EXTENT_AP,0.0077,0.2075
A-EXTENT_CO,0.1312,0.3855
A-INTOBJ,0.2471,0.7117
A-INTOBJ_CO,0.0694,0.0889
A-ORIENT,1.2586,8.2147
A-ORIENT_AP,0.0540,0.3855
A-ORIENT_CO,0.1235,0.5041
A-PRED,0.2007,1.8979
A-RESPECT,0.0540,0.0
A-SUBJ,0.6254,7.1174
A-SUBJ_AP,0.0154,0.3558
A-SUBJ_CO,0.0540,0.4744
AB-ABSOL,1.1274,6.2574
AB-ABSOL_CO,0.0386,1.0676
AB-ACCOMP,0.3243,1.4531
AB-AGENT,0.0926,1.0379
AB-CAUSE,0.5714,2.1352
AB-CAUSE_AP,0.0154,0.1482
AB-CAUSE_CO,0.0926,0.3262
AB-COMPAR,0.4633,0.1186
AB-COMPAR_CO,0.0540,0.0
AB-DECRIP,0.0231,0.3558
AB-DEGDIF,0.0463,0.4448
AB-LOCAT,1.8764,5.1304
AB-LOCAT_AP,0.0077,0.0593
AB-LOCAT_CO,0.1081,0.4151
AB-MANN,1.3745,2.6393
AB-MANN_CO,0.0926,0.5041
AB-MEANS,1.0115,2.4911
AB-MEANS_CO,0.1312,0.5634
AB-ORIENT,1.0270,5.2491
AB-ORIENT_CO,0.0231,0.4744
AB-PRICE,0.0231,0.0593
AB-PRICE_CO,0.0154,0.0
AB-RESPECT,0.3088,0.6524
AB-RESPECT_CO,0.0772,0.2372
AB-SEPAR,0.2471,1.3641
AB-SEPAR_CO,0.0154,0.3262
ADJ-RC,1.4749,3.7069
ADJ-RCCHAR,0.1544,0.6820
ADJ-RCCHAR_CO,0.0463,0.2669
ADJ-RCCHAR_OBJ,0.0231,0.0
ADJ-RCCHAR_PRED,0.0077,0.0
ADJ-RCCHAR_SBJ,0.0154,0.0296
ADJ-RC_CO,0.4633,0.8896
ADJ-RC_OBJ,0.0308,0.1482
ADJ-RC_OBJ-AP,0.0077,0.0
ADJ-RC_OBJ-CO,0.0308,0.0
ADJ-RC_PRED,0.0231,0.0
ADJ-RC_SBJ,0.1003,0.0296
ADJ-RC_SUBJ-CO,0.0694,0.0889
ADV,7.3050,18.030
ADV-CAUSAL,0.1621,2.6393
ADV-CAUSAL_CO,0.0463,1.1565
ADV-CIRCUMS,0.0463,1.2752
ADV-CIRCUMS_CO,0.0154,0.5041
ADV-COMPAR,0.4478,1.1862
ADV-COMPAR_CO,0.1158,0.0
ADV-CONCESS,0.1776,0.2965
ADV-CONCESS_CO,0.0154,0.1186
ADV-CONSEC,0.0308,0.2372
ADV-PROTAS,0.5328,1.8090
ADV-PROTAS_CO,0.0849,0.4151
ADV-PROVISO_CO,0.0540,0.0
ADV-PURP,0.1467,1.0676
ADV-PURP_CO,0.0077,0.2075
ADV-RCRESULT,0.0077,0.0
ADV-RESULT,0.0231,0.5634
ADV-TEMPOR,0.7104,0.6227
ADV-TEMPOR_CO,0.3320,0.1779
ADV_CO,0.0231,0.4448
APOS,0.6486,3.0249
APOS_CO,0.0308,0.0
ATR,14.162,29.003
ATR_CO,1.0347,1.5717
Aux,0.0231,0.0
AuxC,2.1776,10.646
AuxG,1.7220,0.2965
AuxK,6.0231,13.018
AuxP,3.8532,20.403
AuxP_CO,0.0694,0.2075
AuxV,0.7181,2.9655
AuxX,8.7181,17.971
AuxY,0.5096,0.8896
COORD,9.3745,16.755
D-AGENT,0.1853,0.2669
D-INTER,0.8262,2.6393
D-INTER_CO,0.0231,0.3262
D-IO,0.7799,1.5124
D-IO_AP,0.0154,0.0
D-IO_CO,0.0386,0.0593
D-POSS,0.2162,0.3558
D-PURP,0.0231,0.3558
D-REFER,0.8339,1.3048
D-REFER_CO,0.0463,0.2075
G-CHAR,0.0077,0.0593
G-CHARGE,0.0077,0.0
G-DESC,0.3243,1.1862
G-DESC_CO,0.0463,0.1779
G-MATER,0.0231,0.0
G-OBJEC,0.6718,1.3048
G-OBJEC_CO,0.0386,0.0889
G-PART,0.2239,2.7283
G-POSS,2.3243,8.3629
G-POSS_AP,0.0308,0.3262
G-POSS_CO,0.1003,0.5634
INF-COMP,0.9189,3.8256
INF-COMP_AP,0.0077,0.0296
INF-COMP_CO,0.1235,0.5931
INF-EXPL,0.0231,0.0
INTRJ,0.1853,0.0
INTRJ_OBJ,0.0077,0.0
L-LOCAT,0.0077,0.0889
N-PRED,1.9768,1.7200
N-PRED_AP,0.0154,0.0
N-PRED_CO,0.2084,0.4744
N-SUBJ,10.486,16.459
N-SUBJ_AP,0.4864,0.9193
N-SUBJ_CO,0.9266,1.2455
N-SUBJ_OBJ-AP,0.0077,0.0
N-SUBJ_OBJ-CO,0.0154,0.0
NOM-DIRSTAT,5.9459,0.0
NOM-DIRSTAT_CO,0.0154,0.0
NOM-DIRSTAT_OBJ,2.0540,0.0
NOM-DIRSTAT_OBJ-AP,0.0308,0.0
NOM-DIRSTAT_OBJ-CO,3.8223,0.0
NOM-DS-DELIB_OBJ,0.0231,0.0
NOM-DS-HORT,0.1776,0.1779
NOM-DS-HORT_OBJ,0.0617,0.1186
NOM-DS-HORT_OBJ-CO,0.1081,0.0593
NOM-DS-OPT_OBJ,0.0154,0.0
NOM-DS-OPT_OBJ-CO,0.0386,0.0
NOM-DS-POTENT_OBJ,0.1003,0.0889
NOM-DS-POTENT_OBJ-CO,0.1389,0.0593
NOM-FEARCL_OBJ-AP,0.0077,0.0296
NOM-FEARCL_OBJ-CO,0.0154,0.0
NOM-INDQUES_AP,0.0077,0.0
NOM-INDQUES_CO,0.0231,0.0
NOM-INDQUES_OBJ,0.1544,0.3558
NOM-INDQUES_OBJ-CO,0.1389,0.3855
NOM-INDQUES_PRED-CO,0.0154,0.0
NOM-INDQUES_SBJ,0.0154,0.1186
NOM-INDSTAT,0.7644,9.3119
NOM-INDSTAT_CO,0.0077,0.1186
NOM-INDSTAT_OBJ,0.4401,5.0415
NOM-INDSTAT_OBJ-AP,0.0077,0.0296
NOM-INDSTAT_OBJ-CO,0.2857,3.7663
NOM-INDSTAT_SBJ,0.0386,0.2669
NOM-INDSTAT_SUBJ-CO,0.0154,0.3262
NOM-SUBST_AP,0.0077,0.0296
NOM-SUBST_OBJ,0.1081,1.0083
NOM-SUBST_OBJ-AP,0.0077,0.1482
NOM-SUBST_OBJ-CO,0.0694,0.9786
NOM-SUBST_PRED,0.0077,0.0
NOM-SUBST_SBJ,0.0772,0.2372
NOM-SUBST_SUBJ-AP,0.0077,0.0593
NOM-SUBST_SUBJ-CO,0.0463,0.8303
PARENTH,0.4169,0.0889
PRED,9.3513,16.073
PRED-DELIB,0.0077,0.0
PRED-HORT,0.0308,0.0
PRED-POTENT,0.0694,0.0
PRED-POTENT_CO,0.0386,0.0
PRED_CO,4.5096,5.5160
V-VOC,0.6640,0.0
V-VOC_AP,0.0540,0.0
V-VOC_CO,0.0386,0.0
V-VOC_OBJ,0.0154,0.0
